表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,
公開日：,2025年10月31日,,,,,,,,,
,,,,,,,,,,
NA,欠測値,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
調査年,地域,A1101_総人口【人】,A110101_総人口（男）【人】,A110102_総人口（女）【人】,B1103_可住地面積【ｈａ】,B4101_年平均気温【℃】,B4108_日照時間（年間）【時間】,C1101_県内総生産額（平成17年基準）【百万円】,M380100_交際・付き合いの平均時間（15歳以上）（男）【分】,M380200_交際・付き合いの平均時間（15歳以上）（女）【分】
year,pref,pop,male,female,area,temp,sun,gdp,hour_m,hour_f
2000年度,長野県,2215168 ,1080986 ,1134182 ,333382 ,12 ,1976 ,NA,NA,NA
2000年度,岐阜県,2107700 ,1022186 ,1085514 ,214472 ,16 ,2132 ,NA,NA,NA
2000年度,静岡県,3767393 ,1857031 ,1910362 ,273098 ,17 ,2114 ,NA,NA,NA
2000年度,愛知県,7043300 ,3525698 ,3517602 ,295163 ,16 ,2162 ,NA,NA,NA
2000年度,三重県,1857339 ,901380 ,955959 ,202176 ,16 ,2086 ,NA,NA,NA
2000年度,滋賀県,1342832 ,663432 ,679400 ,128904 ,15 ,1915 ,NA,NA,NA
2000年度,京都府,2644391 ,1278142 ,1366249 ,115506 ,16 ,1776 ,NA,NA,NA
2000年度,大阪府,8805081 ,4304059 ,4501022 ,131387 ,17 ,2009 ,NA,NA,NA
2000年度,兵庫県,5550574 ,2674625 ,2875949 ,275557 ,17 ,1980 ,NA,NA,NA
2000年度,奈良県,1442795 ,691098 ,751697 ,85053 ,15 ,1809 ,NA,NA,NA
2000年度,和歌山県,1069912 ,506882 ,563030 ,109731 ,17 ,2076 ,NA,NA,NA
2000年度,鳥取県,613289 ,293403 ,319886 ,91201 ,15 ,1755 ,NA,NA,NA
2000年度,島根県,761503 ,363994 ,397509 ,125599 ,15 ,1784 ,NA,NA,NA
2000年度,岡山県,1950828 ,936044 ,1014784 ,221047 ,17 ,2007 ,NA,NA,NA
2000年度,広島県,2878915 ,1392496 ,1486419 ,225482 ,17 ,2065 ,NA,NA,NA
2000年度,山口県,1527964 ,722683 ,805281 ,174912 ,16 ,1981 ,NA,NA,NA
2000年度,徳島県,824108 ,391718 ,432390 ,102150 ,17 ,2076 ,NA,NA,NA
2000年度,香川県,1022890 ,491761 ,531129 ,99125 ,17 ,2077 ,NA,NA,NA
2000年度,愛媛県,1493092 ,704289 ,788803 ,166978 ,17 ,2035 ,NA,NA,NA
2000年度,高知県,813949 ,383859 ,430090 ,116816 ,17 ,2189 ,NA,NA,NA
2000年度,福岡県,5015699 ,2388824 ,2626875 ,273719 ,17 ,2002 ,NA,NA,NA
2000年度,佐賀県,876654 ,414377 ,462277 ,133980 ,17 ,2053 ,NA,NA,NA
2000年度,長崎県,1516523 ,712346 ,804177 ,161712 ,17 ,1990 ,NA,NA,NA
2000年度,熊本県,1859344 ,878145 ,981199 ,274558 ,17 ,2076 ,NA,NA,NA
2000年度,大分県,1221140 ,575985 ,645155 ,176905 ,17 ,2050 ,NA,NA,NA
2000年度,宮崎県,1170007 ,552160 ,617847 ,183500 ,18 ,2105 ,NA,NA,NA
2000年度,鹿児島県,1786194 ,837979 ,948215 ,324251 ,19 ,1969 ,NA,NA,NA
2000年度,沖縄県,1318220 ,647877 ,670343 ,115905 ,23 ,1605 ,NA,NA,NA
1999年度,北海道,5689000 ,2725000 ,2964000 ,2175929 ,9 ,1609 ,NA,NA,NA
1999年度,青森県,1477000 ,703000 ,774000 ,315807 ,11 ,1604 ,NA,NA,NA
1999年度,岩手県,1417000 ,681000 ,736000 ,366224 ,11 ,1653 ,NA,NA,NA
1999年度,宮城県,2360000 ,1157000 ,1203000 ,308589 ,13 ,1948 ,NA,NA,NA
1999年度,秋田県,1195000 ,568000 ,627000 ,314325 ,12 ,1520 ,NA,NA,NA
1999年度,山形県,1247000 ,603000 ,644000 ,285769 ,12 ,1660 ,NA,NA,NA
1999年度,福島県,2129000 ,1039000 ,1090000 ,412771 ,14 ,1802 ,NA,NA,NA
1999年度,茨城県,2981000 ,1487000 ,1495000 ,391514 ,15 ,2047 ,NA,NA,NA
1999年度,栃木県,2003000 ,995000 ,1007000 ,288635 ,15 ,1965 ,NA,NA,NA
1999年度,群馬県,2020000 ,997000 ,1023000 ,225744 ,15 ,2151 ,NA,NA,NA
1999年度,埼玉県,6906000 ,3486000 ,3420000 ,253984 ,16 ,2128 ,NA,NA,NA
1999年度,千葉県,5893000 ,2964000 ,2930000 ,344974 ,17 ,1958 ,NA,NA,NA
1999年度,東京都,11983000 ,5996000 ,5988000 ,138011 ,17 ,1995 ,NA,NA,NA
1999年度,神奈川県,8432000 ,4285000 ,4147000 ,143631 ,17 ,2105 ,NA,NA,NA
1999年度,新潟県,2482000 ,1205000 ,1276000 ,456309 ,14 ,1696 ,NA,NA,NA
1999年度,富山県,1122000 ,540000 ,581000 ,184554 ,15 ,1638 ,NA,NA,NA
1999年度,石川県,1180000 ,571000 ,609000 ,138662 ,15 ,1652 ,NA,NA,NA
1999年度,福井県,828000 ,402000 ,426000 ,105679 ,15 ,1574 ,NA,NA,NA
1999年度,山梨県,887000 ,437000 ,451000 ,94213 ,15 ,2221 ,NA,NA,NA
1999年度,長野県,2210000 ,1079000 ,1132000 ,328577 ,12 ,1987 ,NA,NA,NA
1999年度,岐阜県,2107000 ,1022000 ,1085000 ,207862 ,16 ,2017 ,NA,NA,NA
1999年度,静岡県,3761000 ,1853000 ,1908000 ,270592 ,17 ,2208 ,NA,NA,NA
1999年度,愛知県,7006000 ,3508000 ,3498000 ,290985 ,16 ,2087 ,NA,NA,NA
1999年度,三重県,1856000 ,901000 ,955000 ,198401 ,17 ,2045 ,NA,NA,NA
1999年度,滋賀県,1332000 ,658000 ,674000 ,129006 ,15 ,1828 ,NA,NA,NA
1999年度,京都府,2645000 ,1279000 ,1366000 ,112995 ,16 ,1804 ,NA,NA,NA
1999年度,大阪府,8813000 ,4312000 ,4500000 ,129871 ,17 ,2052 ,NA,NA,NA
1999年度,兵庫県,5528000 ,2666000 ,2862000 ,267576 ,17 ,2011 ,NA,NA,NA
1999年度,奈良県,1444000 ,692000 ,752000 ,83330 ,15 ,1844 ,NA,NA,NA
1999年度,和歌山県,1074000 ,509000 ,565000 ,108935 ,17 ,2066 ,NA,NA,NA
1999年度,鳥取県,614000 ,294000 ,320000 ,88282 ,15 ,1575 ,NA,NA,NA
1999年度,島根県,763000 ,365000 ,398000 ,129516 ,15 ,1645 ,NA,NA,NA
1999年度,岡山県,1953000 ,937000 ,1015000 ,219710 ,17 ,1981 ,NA,NA,NA
1999年度,広島県,2881000 ,1395000 ,1486000 ,221642 ,17 ,1964 ,NA,NA,NA
1999年度,山口県,1535000 ,726000 ,809000 ,170387 ,16 ,1781 ,NA,NA,NA
1999年度,徳島県,827000 ,393000 ,434000 ,100440 ,17 ,2042 ,NA,NA,NA
1999年度,香川県,1025000 ,493000 ,532000 ,98203 ,17 ,1977 ,NA,NA,NA
1999年度,愛媛県,1496000 ,706000 ,790000 ,166176 ,17 ,1852 ,NA,NA,NA
1999年度,高知県,815000 ,384000 ,431000 ,116149 ,17 ,2068 ,NA,NA,NA
1999年度,福岡県,5002000 ,2384000 ,2618000 ,273366 ,17 ,1672 ,NA,NA,NA
1999年度,佐賀県,879000 ,415000 ,463000 ,135488 ,17 ,1844 ,NA,NA,NA
1999年度,長崎県,1520000 ,714000 ,806000 ,164011 ,17 ,1651 ,NA,NA,NA
1999年度,熊本県,1861000 ,879000 ,982000 ,266706 ,17 ,1867 ,NA,NA,NA
1999年度,大分県,1224000 ,577000 ,647000 ,177099 ,17 ,1843 ,NA,NA,NA
1999年度,宮崎県,1172000 ,553000 ,619000 ,182878 ,18 ,1942 ,NA,NA,NA
1999年度,鹿児島県,1788000 ,838000 ,949000 ,329621 ,19 ,1749 ,NA,NA,NA
1999年度,沖縄県,1308000 ,642000 ,665000 ,111532 ,24 ,1639 ,NA,NA,NA
1998年度,北海道,5695000 ,2731000 ,2964000 ,2175909 ,9 ,1682 ,NA,NA,NA
1998年度,青森県,1479000 ,704000 ,776000 ,315814 ,11 ,1556 ,NA,NA,NA
1998年度,岩手県,1419000 ,682000 ,737000 ,366208 ,11 ,1534 ,NA,NA,NA
1998年度,宮城県,2355000 ,1155000 ,1200000 ,308550 ,13 ,1509 ,NA,NA,NA
1998年度,秋田県,1200000 ,570000 ,630000 ,314325 ,12 ,1351 ,NA,NA,NA
1998年度,山形県,1251000 ,605000 ,646000 ,285769 ,13 ,1468 ,NA,NA,NA
1998年度,福島県,2132000 ,1041000 ,1091000 ,412771 ,14 ,1452 ,NA,NA,NA
1998年度,茨城県,2980000 ,1486000 ,1493000 ,391388 ,14 ,1588 ,NA,NA,NA
1998年度,栃木県,2001000 ,994000 ,1006000 ,288635 ,14 ,1595 ,NA,NA,NA
1998年度,群馬県,2017000 ,996000 ,1022000 ,225744 ,15 ,1751 ,NA,NA,NA
1998年度,埼玉県,6877000 ,3473000 ,3404000 ,253984 ,16 ,1675 ,NA,NA,NA
1998年度,千葉県,5867000 ,2951000 ,2915000 ,344974 ,16 ,1550 ,NA,NA,NA
1998年度,東京都,11939000 ,5982000 ,5957000 ,137991 ,17 ,1535 ,NA,NA,NA
1998年度,神奈川県,8383000 ,4264000 ,4119000 ,143628 ,16 ,1587 ,NA,NA,NA
1998年度,新潟県,2488000 ,1209000 ,1279000 ,456307 ,15 ,1440 ,NA,NA,NA
1998年度,富山県,1124000 ,541000 ,582000 ,184531 ,15 ,1380 ,NA,NA,NA
1998年度,石川県,1181000 ,572000 ,610000 ,138638 ,16 ,1433 ,NA,NA,NA
1998年度,福井県,828000 ,402000 ,426000 ,105670 ,16 ,1386 ,NA,NA,NA
1998年度,山梨県,888000 ,437000 ,451000 ,94213 ,16 ,1901 ,NA,NA,NA
1998年度,長野県,2210000 ,1079000 ,1132000 ,328577 ,13 ,1724 ,NA,NA,NA
1998年度,岐阜県,2108000 ,1023000 ,1085000 ,207862 ,17 ,1874 ,NA,NA,NA
1998年度,静岡県,3758000 ,1851000 ,1906000 ,270590 ,17 ,1767 ,NA,NA,NA
1998年度,愛知県,6973000 ,3492000 ,3481000 ,290886 ,17 ,1904 ,NA,NA,NA
1998年度,三重県,1855000 ,900000 ,954000 ,198396 ,17 ,1872 ,NA,NA,NA
1998年度,滋賀県,1323000 ,653000 ,670000 ,129006 ,16 ,1699 ,NA,NA,NA
1998年度,京都府,2643000 ,1280000 ,1363000 ,112987 ,17 ,1660 ,NA,NA,NA
1998年度,大阪府,8813000 ,4317000 ,4496000 ,129871 ,18 ,1858 ,NA,NA,NA
1998年度,兵庫県,5494000 ,2652000 ,2842000 ,267540 ,17 ,1857 ,NA,NA,NA
1998年度,奈良県,1443000 ,692000 ,751000 ,83330 ,16 ,1677 ,NA,NA,NA
1998年度,和歌山県,1076000 ,510000 ,566000 ,108895 ,18 ,1936 ,NA,NA,NA
1998年度,鳥取県,615000 ,294000 ,321000 ,88280 ,16 ,1463 ,NA,NA,NA
1998年度,島根県,765000 ,366000 ,399000 ,129530 ,16 ,1594 ,NA,NA,NA
1998年度,岡山県,1953000 ,938000 ,1015000 ,219706 ,17 ,1894 ,NA,NA,NA
1998年度,広島県,2882000 ,1396000 ,1486000 ,221603 ,18 ,1925 ,NA,NA,NA
1998年度,山口県,1540000 ,729000 ,811000 ,170376 ,17 ,1731 ,NA,NA,NA
1998年度,徳島県,829000 ,394000 ,435000 ,100423 ,18 ,1935 ,NA,NA,NA
1998年度,香川県,1025000 ,493000 ,533000 ,98188 ,18 ,1914 ,NA,NA,NA
1998年度,愛媛県,1501000 ,709000 ,792000 ,166152 ,18 ,1869 ,NA,NA,NA
1998年度,高知県,816000 ,384000 ,432000 ,116144 ,18 ,2027 ,NA,NA,NA
1998年度,福岡県,4990000 ,2379000 ,2611000 ,273314 ,18 ,1765 ,NA,NA,NA
1998年度,佐賀県,881000 ,416000 ,464000 ,135488 ,18 ,1851 ,NA,NA,NA
1998年度,長崎県,1526000 ,717000 ,809000 ,163980 ,18 ,1764 ,NA,NA,NA
1998年度,熊本県,1862000 ,880000 ,982000 ,266626 ,18 ,1864 ,NA,NA,NA
1998年度,大分県,1226000 ,579000 ,647000 ,177084 ,17 ,1857 ,NA,NA,NA
1998年度,宮崎県,1173000 ,554000 ,619000 ,182845 ,19 ,1959 ,NA,NA,NA
1998年度,鹿児島県,1790000 ,839000 ,951000 ,329618 ,20 ,1831 ,NA,NA,NA
1998年度,沖縄県,1298000 ,637000 ,661000 ,111411 ,24 ,1637 ,NA,NA,NA
1997年度,北海道,5699000 ,2736000 ,2962000 ,2175913 ,9 ,1649 ,NA,NA,NA
1997年度,青森県,1481000 ,705000 ,776000 ,315808 ,11 ,1485 ,NA,NA,NA
1997年度,岩手県,1419000 ,683000 ,737000 ,366204 ,11 ,1639 ,NA,NA,NA
1997年度,宮城県,2348000 ,1153000 ,1195000 ,308542 ,13 ,1862 ,NA,NA,NA
1997年度,秋田県,1205000 ,573000 ,632000 ,314297 ,12 ,1491 ,NA,NA,NA
1997年度,山形県,1253000 ,606000 ,647000 ,285769 ,12 ,1558 ,NA,NA,NA
1997年度,福島県,2134000 ,1042000 ,1092000 ,412771 ,13 ,1758 ,NA,NA,NA
1997年度,茨城県,2973000 ,1484000 ,1489000 ,391387 ,14 ,2076 ,NA,NA,NA
1997年度,栃木県,1996000 ,993000 ,1004000 ,288635 ,14 ,2057 ,NA,NA,NA
1997年度,群馬県,2013000 ,994000 ,1019000 ,225744 ,15 ,2260 ,NA,NA,NA
1997年度,埼玉県,6841000 ,3456000 ,3384000 ,253984 ,15 ,2209 ,NA,NA,NA
1997年度,千葉県,5839000 ,2940000 ,2899000 ,344964 ,16 ,2113 ,NA,NA,NA
1997年度,東京都,11881000 ,5958000 ,5923000 ,137991 ,17 ,2056 ,NA,NA,NA
1997年度,神奈川県,8319000 ,4235000 ,4084000 ,143544 ,16 ,2151 ,NA,NA,NA
1997年度,新潟県,2490000 ,1210000 ,1280000 ,456290 ,14 ,1672 ,NA,NA,NA
1997年度,富山県,1124000 ,542000 ,583000 ,184510 ,14 ,1661 ,NA,NA,NA
1997年度,石川県,1181000 ,571000 ,610000 ,138636 ,15 ,1749 ,NA,NA,NA
1997年度,福井県,828000 ,402000 ,426000 ,105663 ,15 ,1692 ,NA,NA,NA
1997年度,山梨県,886000 ,436000 ,450000 ,94213 ,15 ,2303 ,NA,NA,NA
1997年度,長野県,2207000 ,1077000 ,1130000 ,328577 ,12 ,2018 ,NA,NA,NA
1997年度,岐阜県,2106000 ,1022000 ,1084000 ,207862 ,16 ,2148 ,NA,NA,NA
1997年度,静岡県,3752000 ,1848000 ,1904000 ,270582 ,17 ,2280 ,NA,NA,NA
1997年度,愛知県,6931000 ,3470000 ,3461000 ,290875 ,16 ,2193 ,NA,NA,NA
1997年度,三重県,1851000 ,899000 ,952000 ,198393 ,16 ,2114 ,NA,NA,NA
1997年度,滋賀県,1310000 ,647000 ,664000 ,129006 ,15 ,1925 ,NA,NA,NA
1997年度,京都府,2638000 ,1279000 ,1359000 ,112986 ,16 ,1867 ,NA,NA,NA
1997年度,大阪府,8808000 ,4320000 ,4487000 ,129871 ,17 ,2089 ,NA,NA,NA
1997年度,兵庫県,5455000 ,2634000 ,2820000 ,267388 ,16 ,2067 ,NA,NA,NA
1997年度,奈良県,1442000 ,693000 ,749000 ,83330 ,15 ,1919 ,NA,NA,NA
1997年度,和歌山県,1078000 ,511000 ,566000 ,108887 ,17 ,2195 ,NA,NA,NA
1997年度,鳥取県,614000 ,294000 ,320000 ,88280 ,15 ,1667 ,NA,NA,NA
1997年度,島根県,768000 ,367000 ,401000 ,129527 ,15 ,1768 ,NA,NA,NA
1997年度,岡山県,1952000 ,938000 ,1014000 ,219658 ,16 ,2156 ,NA,NA,NA
1997年度,広島県,2882000 ,1396000 ,1485000 ,221560 ,16 ,2083 ,NA,NA,NA
1997年度,山口県,1545000 ,731000 ,814000 ,170360 ,16 ,1961 ,NA,NA,NA
1997年度,徳島県,830000 ,394000 ,436000 ,100421 ,17 ,2189 ,NA,NA,NA
1997年度,香川県,1026000 ,493000 ,533000 ,98177 ,17 ,2178 ,NA,NA,NA
1997年度,愛媛県,1503000 ,710000 ,793000 ,166124 ,17 ,2133 ,NA,NA,NA
1997年度,高知県,816000 ,384000 ,432000 ,116114 ,17 ,2212 ,NA,NA,NA
1997年度,福岡県,4971000 ,2372000 ,2599000 ,273205 ,17 ,1975 ,NA,NA,NA
1997年度,佐賀県,882000 ,417000 ,465000 ,135480 ,17 ,2020 ,NA,NA,NA
1997年度,長崎県,1533000 ,721000 ,812000 ,163947 ,17 ,1958 ,NA,NA,NA
1997年度,熊本県,1861000 ,880000 ,981000 ,266614 ,17 ,2102 ,NA,NA,NA
1997年度,大分県,1228000 ,580000 ,648000 ,177072 ,17 ,2081 ,NA,NA,NA
1997年度,宮崎県,1175000 ,556000 ,620000 ,182822 ,18 ,2210 ,NA,NA,NA
1997年度,鹿児島県,1792000 ,840000 ,952000 ,329593 ,19 ,2053 ,NA,NA,NA
1997年度,沖縄県,1289000 ,633000 ,657000 ,111371 ,23 ,1875 ,NA,NA,NA
1996年度,北海道,5697000 ,2738000 ,2960000 ,2175846 ,8 ,1564 ,NA,28 ,28 
1996年度,青森県,1483000 ,705000 ,778000 ,315763 ,10 ,1527 ,NA,23 ,22 
1996年度,岩手県,1420000 ,683000 ,738000 ,366164 ,10 ,1661 ,NA,24 ,22 
1996年度,宮城県,2338000 ,1148000 ,1190000 ,308564 ,12 ,1818 ,NA,27 ,30 
1996年度,秋田県,1210000 ,576000 ,634000 ,314296 ,11 ,1542 ,NA,25 ,22 
1996年度,山形県,1255000 ,606000 ,649000 ,285769 ,11 ,1704 ,NA,30 ,29 
1996年度,福島県,2134000 ,1042000 ,1092000 ,412771 ,13 ,1821 ,NA,23 ,23 
1996年度,茨城県,2966000 ,1481000 ,1485000 ,391386 ,13 ,2034 ,NA,31 ,29 
1996年度,栃木県,1991000 ,990000 ,1000000 ,288635 ,13 ,2017 ,NA,26 ,26 
1996年度,群馬県,2009000 ,992000 ,1017000 ,225746 ,14 ,2242 ,NA,31 ,27 
1996年度,埼玉県,6804000 ,3440000 ,3364000 ,253982 ,15 ,2161 ,NA,28 ,27 
1996年度,千葉県,5817000 ,2932000 ,2886000 ,344958 ,15 ,2020 ,NA,26 ,26 
1996年度,東京都,11808000 ,5915000 ,5893000 ,137991 ,16 ,1984 ,NA,32 ,34 
1996年度,神奈川県,8279000 ,4220000 ,4059000 ,143518 ,15 ,2051 ,NA,30 ,29 
1996年度,新潟県,2490000 ,1211000 ,1279000 ,456274 ,13 ,1727 ,NA,27 ,28 
1996年度,富山県,1125000 ,542000 ,583000 ,184491 ,14 ,1713 ,NA,26 ,25 
1996年度,石川県,1181000 ,571000 ,610000 ,138635 ,14 ,1773 ,NA,25 ,26 
1996年度,福井県,828000 ,402000 ,426000 ,105656 ,14 ,1750 ,NA,27 ,24 
1996年度,山梨県,885000 ,436000 ,449000 ,94213 ,14 ,2277 ,NA,35 ,30 
1996年度,長野県,2203000 ,1075000 ,1128000 ,328577 ,11 ,2065 ,NA,29 ,28 
1996年度,岐阜県,2104000 ,1021000 ,1083000 ,207862 ,15 ,2082 ,NA,26 ,25 
1996年度,静岡県,3745000 ,1845000 ,1900000 ,270555 ,16 ,2196 ,NA,35 ,26 
1996年度,愛知県,6897000 ,3453000 ,3444000 ,290769 ,15 ,2129 ,NA,26 ,29 
1996年度,三重県,1846000 ,897000 ,950000 ,198390 ,15 ,2056 ,NA,25 ,23 
1996年度,滋賀県,1298000 ,641000 ,658000 ,129002 ,14 ,1873 ,NA,24 ,22 
1996年度,京都府,2634000 ,1279000 ,1356000 ,112986 ,15 ,1799 ,NA,29 ,24 
1996年度,大阪府,8807000 ,4324000 ,4482000 ,129863 ,16 ,2028 ,NA,28 ,31 
1996年度,兵庫県,5421000 ,2620000 ,2801000 ,267168 ,16 ,2005 ,NA,25 ,26 
1996年度,奈良県,1437000 ,691000 ,746000 ,83330 ,14 ,1839 ,NA,28 ,27 
1996年度,和歌山県,1079000 ,513000 ,567000 ,108885 ,16 ,2145 ,NA,25 ,24 
1996年度,鳥取県,615000 ,294000 ,321000 ,88274 ,15 ,1601 ,NA,25 ,21 
1996年度,島根県,770000 ,368000 ,402000 ,129474 ,14 ,1720 ,NA,25 ,27 
1996年度,岡山県,1951000 ,938000 ,1013000 ,219656 ,16 ,2044 ,NA,26 ,28 
1996年度,広島県,2881000 ,1397000 ,1484000 ,221493 ,16 ,2026 ,NA,22 ,23 
1996年度,山口県,1550000 ,734000 ,816000 ,170386 ,15 ,1906 ,NA,25 ,24 
1996年度,徳島県,831000 ,395000 ,436000 ,100383 ,16 ,2093 ,NA,22 ,17 
1996年度,香川県,1027000 ,493000 ,533000 ,98158 ,16 ,2077 ,NA,29 ,28 
1996年度,愛媛県,1505000 ,712000 ,793000 ,166115 ,16 ,2057 ,NA,27 ,24 
1996年度,高知県,816000 ,384000 ,432000 ,116112 ,16 ,2166 ,NA,26 ,21 
1996年度,福岡県,4952000 ,2365000 ,2587000 ,273167 ,17 ,1829 ,NA,29 ,27 
1996年度,佐賀県,884000 ,419000 ,466000 ,135472 ,16 ,1983 ,NA,29 ,28 
1996年度,長崎県,1540000 ,724000 ,816000 ,163903 ,17 ,1853 ,NA,31 ,24 
1996年度,熊本県,1861000 ,880000 ,981000 ,266601 ,17 ,2030 ,NA,29 ,26 
1996年度,大分県,1230000 ,581000 ,649000 ,177050 ,16 ,2015 ,NA,23 ,28 
1996年度,宮崎県,1177000 ,557000 ,620000 ,182819 ,17 ,2161 ,NA,29 ,24 
1996年度,鹿児島県,1793000 ,840000 ,953000 ,329568 ,18 ,1997 ,NA,25 ,26 
1996年度,沖縄県,1282000 ,629000 ,653000 ,111302 ,23 ,1840 ,NA,39 ,30 
1995年度,北海道,5692321 ,2736844 ,2955477 ,2175847 ,9 ,1576 ,NA,NA,NA
1995年度,青森県,1481663 ,704189 ,777474 ,315738 ,11 ,1520 ,NA,NA,NA
1995年度,岩手県,1419505 ,681986 ,737519 ,366162 ,10 ,1542 ,NA,NA,NA
1995年度,宮城県,2328739 ,1144739 ,1184000 ,308552 ,13 ,1760 ,NA,NA,NA
1995年度,秋田県,1213667 ,577535 ,636132 ,314288 ,12 ,1357 ,NA,NA,NA
1995年度,山形県,1256958 ,607316 ,649642 ,285767 ,12 ,1510 ,NA,NA,NA
1995年度,福島県,2133592 ,1042030 ,1091562 ,412771 ,13 ,1704 ,NA,NA,NA
1995年度,茨城県,2955530 ,1476437 ,1479093 ,391385 ,14 ,1961 ,NA,NA,NA
1995年度,栃木県,1984390 ,987426 ,996964 ,288635 ,14 ,2010 ,NA,NA,NA
1995年度,群馬県,2003540 ,989610 ,1013930 ,225746 ,15 ,2259 ,NA,NA,NA
1995年度,埼玉県,6759311 ,3419218 ,3340093 ,253982 ,15 ,2176 ,NA,NA,NA
1995年度,千葉県,5797782 ,2923839 ,2873943 ,344957 ,16 ,2090 ,NA,NA,NA
1995年度,東京都,11773605 ,5892704 ,5880901 ,137984 ,16 ,2028 ,NA,NA,NA
1995年度,神奈川県,8245900 ,4209525 ,4036375 ,143475 ,16 ,2081 ,NA,NA,NA
1995年度,新潟県,2488364 ,1209833 ,1278531 ,456252 ,14 ,1488 ,NA,NA,NA
1995年度,富山県,1123125 ,540921 ,582204 ,184482 ,14 ,1504 ,NA,NA,NA
1995年度,石川県,1180068 ,570835 ,609233 ,138630 ,14 ,1535 ,NA,NA,NA
1995年度,福井県,826996 ,401860 ,425136 ,105651 ,14 ,1497 ,NA,NA,NA
1995年度,山梨県,881996 ,434707 ,447289 ,94213 ,15 ,2318 ,NA,NA,NA
1995年度,長野県,2193984 ,1070471 ,1123513 ,328577 ,12 ,1920 ,NA,NA,NA
1995年度,岐阜県,2100315 ,1019549 ,1080766 ,207861 ,16 ,2244 ,NA,NA,NA
1995年度,静岡県,3737689 ,1841947 ,1895742 ,270554 ,16 ,2360 ,NA,NA,NA
1995年度,愛知県,6868336 ,3439180 ,3429156 ,290683 ,15 ,2289 ,NA,NA,NA
1995年度,三重県,1841358 ,893982 ,947376 ,198383 ,16 ,2173 ,NA,NA,NA
1995年度,滋賀県,1287005 ,634648 ,652357 ,129002 ,14 ,1878 ,NA,NA,NA
1995年度,京都府,2629592 ,1276838 ,1352754 ,112953 ,15 ,1765 ,NA,NA,NA
1995年度,大阪府,8797268 ,4321575 ,4475693 ,129801 ,17 ,2012 ,NA,NA,NA
1995年度,兵庫県,5401877 ,2612369 ,2789508 ,267078 ,16 ,1923 ,NA,NA,NA
1995年度,奈良県,1430862 ,688741 ,742121 ,83330 ,15 ,1759 ,NA,NA,NA
1995年度,和歌山県,1080435 ,513450 ,566985 ,108860 ,16 ,2132 ,NA,NA,NA
1995年度,鳥取県,614929 ,294414 ,320515 ,88272 ,14 ,1512 ,NA,NA,NA
1995年度,島根県,771441 ,368789 ,402652 ,129474 ,14 ,1608 ,NA,NA,NA
1995年度,岡山県,1950750 ,938439 ,1012311 ,219646 ,16 ,2062 ,NA,NA,NA
1995年度,広島県,2881748 ,1398986 ,1482762 ,221445 ,16 ,2102 ,NA,NA,NA
1995年度,山口県,1555543 ,736555 ,818988 ,170367 ,15 ,2050 ,NA,NA,NA
1995年度,徳島県,832427 ,395636 ,436791 ,100382 ,16 ,2112 ,NA,NA,NA
1995年度,香川県,1027006 ,493482 ,533524 ,98135 ,16 ,2088 ,NA,NA,NA
1995年度,愛媛県,1506700 ,712518 ,794182 ,166088 ,16 ,2171 ,NA,NA,NA
1995年度,高知県,816704 ,384446 ,432258 ,116108 ,16 ,2326 ,NA,NA,NA
1995年度,福岡県,4933393 ,2357525 ,2575868 ,273147 ,17 ,1953 ,NA,NA,NA
1995年度,佐賀県,884316 ,418666 ,465650 ,135469 ,16 ,2080 ,NA,NA,NA
1995年度,長崎県,1544934 ,726894 ,818040 ,163873 ,17 ,1962 ,NA,NA,NA
1995年度,熊本県,1859793 ,879873 ,979920 ,266589 ,16 ,2105 ,NA,NA,NA
1995年度,大分県,1231306 ,581909 ,649397 ,177042 ,16 ,2136 ,NA,NA,NA
1995年度,宮崎県,1175819 ,556245 ,619574 ,182816 ,17 ,2368 ,NA,NA,NA
1995年度,鹿児島県,1794224 ,840980 ,953244 ,329555 ,18 ,2060 ,NA,NA,NA
1995年度,沖縄県,1273440 ,624737 ,648703 ,111227 ,23 ,1653 ,NA,NA,NA
1994年度,北海道,5681000 ,2732000 ,2949000 ,2175813 ,10 ,1868 ,NA,NA,NA
1994年度,青森県,1480000 ,703000 ,776000 ,315820 ,11 ,1720 ,NA,NA,NA
1994年度,岩手県,1418000 ,681000 ,737000 ,365916 ,11 ,1868 ,NA,NA,NA
1994年度,宮城県,2313000 ,1137000 ,1176000 ,308548 ,13 ,2009 ,NA,NA,NA
1994年度,秋田県,1216000 ,579000 ,637000 ,314403 ,12 ,1675 ,NA,NA,NA
1994年度,山形県,1256000 ,607000 ,650000 ,285767 ,12 ,1826 ,NA,NA,NA
1994年度,福島県,2129000 ,1039000 ,1090000 ,412705 ,14 ,1939 ,NA,NA,NA
1994年度,茨城県,2940000 ,1469000 ,1471000 ,391366 ,14 ,2061 ,NA,NA,NA
1994年度,栃木県,1977000 ,984000 ,993000 ,288635 ,15 ,2064 ,NA,NA,NA
1994年度,群馬県,1996000 ,986000 ,1010000 ,225746 ,15 ,2320 ,NA,NA,NA
1994年度,埼玉県,6703000 ,3394000 ,3309000 ,253987 ,16 ,2133 ,NA,NA,NA
