表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,
公開日：,2025年10月31日,,,,,,,,,
,,,,,,,,,,
NA,欠測値,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
調査年,地域,A1101_総人口【人】,A110101_総人口（男）【人】,A110102_総人口（女）【人】,B1103_可住地面積【ｈａ】,B4101_年平均気温【℃】,B4108_日照時間（年間）【時間】,C1101_県内総生産額（平成17年基準）【百万円】,M380100_交際・付き合いの平均時間（15歳以上）（男）【分】,M380200_交際・付き合いの平均時間（15歳以上）（女）【分】
year,pref,pop,male,female,area,temp,sun,gdp,hour_m,hour_f
2020年度,茨城県,2867009 ,1430976 ,1436033 ,388884 ,15 ,2059 ,NA,NA,NA
2020年度,栃木県,1933146 ,964930 ,968216 ,300506 ,15 ,1967 ,NA,NA,NA
2020年度,群馬県,1939110 ,959411 ,979699 ,226902 ,16 ,2155 ,NA,NA,NA
2020年度,埼玉県,7344765 ,3652169 ,3692596 ,260309 ,16 ,2111 ,NA,NA,NA
2020年度,千葉県,6284480 ,3117987 ,3166493 ,353386 ,17 ,1880 ,NA,NA,NA
2020年度,東京都,14047594 ,6898388 ,7149206 ,142278 ,17 ,1890 ,NA,NA,NA
2020年度,神奈川県,9237337 ,4588268 ,4649069 ,147384 ,17 ,2005 ,NA,NA,NA
2020年度,新潟県,2201272 ,1068670 ,1132602 ,455017 ,15 ,1609 ,NA,NA,NA
2020年度,富山県,1034814 ,502637 ,532177 ,184227 ,15 ,1665 ,NA,NA,NA
2020年度,石川県,1132526 ,549771 ,582755 ,139464 ,16 ,1736 ,NA,NA,NA
2020年度,福井県,766863 ,373973 ,392890 ,107728 ,16 ,1695 ,NA,NA,NA
2020年度,山梨県,809974 ,397309 ,412665 ,95311 ,16 ,2250 ,NA,NA,NA
2020年度,長野県,2048011 ,1000389 ,1047622 ,324893 ,13 ,1949 ,NA,NA,NA
2020年度,岐阜県,1978742 ,960436 ,1018306 ,221063 ,17 ,2173 ,NA,NA,NA
2020年度,静岡県,3633202 ,1791118 ,1842084 ,277474 ,18 ,2245 ,NA,NA,NA
2020年度,愛知県,7542415 ,3761502 ,3780913 ,299576 ,17 ,2216 ,NA,NA,NA
2020年度,三重県,1770254 ,864475 ,905779 ,206415 ,17 ,2175 ,NA,NA,NA
2020年度,滋賀県,1413610 ,697429 ,716181 ,129957 ,16 ,1906 ,NA,NA,NA
2020年度,京都府,2578087 ,1231468 ,1346619 ,117729 ,17 ,1852 ,NA,NA,NA
2020年度,大阪府,8837685 ,4235956 ,4601729 ,133405 ,18 ,2150 ,NA,NA,NA
2020年度,兵庫県,5465002 ,2599756 ,2865246 ,276954 ,18 ,2186 ,NA,NA,NA
2020年度,奈良県,1324473 ,623926 ,700547 ,85389 ,16 ,1882 ,NA,NA,NA
2020年度,和歌山県,922584 ,435051 ,487533 ,112335 ,18 ,2179 ,NA,NA,NA
2020年度,鳥取県,553407 ,264432 ,288975 ,90434 ,16 ,1727 ,NA,NA,NA
2020年度,島根県,671126 ,324291 ,346835 ,127098 ,16 ,1781 ,NA,NA,NA
2020年度,岡山県,1888432 ,908045 ,980387 ,222827 ,17 ,2162 ,NA,NA,NA
2020年度,広島県,2799702 ,1357156 ,1442546 ,229873 ,17 ,2167 ,NA,NA,NA
2020年度,山口県,1342059 ,636736 ,705323 ,171516 ,16 ,2007 ,NA,NA,NA
2020年度,徳島県,719559 ,343265 ,376294 ,101604 ,18 ,2241 ,NA,NA,NA
2020年度,香川県,950244 ,459197 ,491047 ,100494 ,17 ,2174 ,NA,NA,NA
2020年度,愛媛県,1334841 ,633062 ,701779 ,166601 ,17 ,2163 ,NA,NA,NA
2020年度,高知県,691527 ,326531 ,364996 ,116129 ,18 ,2310 ,NA,NA,NA
2020年度,福岡県,5135214 ,2430951 ,2704263 ,276338 ,18 ,2041 ,NA,NA,NA
2020年度,佐賀県,811442 ,384451 ,426991 ,133459 ,18 ,2095 ,NA,NA,NA
2020年度,長崎県,1312317 ,616912 ,695405 ,166797 ,18 ,1974 ,NA,NA,NA
2020年度,熊本県,1738301 ,822481 ,915820 ,274696 ,18 ,2131 ,NA,NA,NA
2020年度,大分県,1123852 ,533414 ,590438 ,179511 ,17 ,2166 ,NA,NA,NA
2020年度,宮崎県,1069576 ,504763 ,564813 ,187614 ,18 ,2208 ,NA,NA,NA
2020年度,鹿児島県,1588256 ,748306 ,839950 ,328812 ,19 ,2041 ,NA,NA,NA
2020年度,沖縄県,1467480 ,722812 ,744668 ,112657 ,24 ,1737 ,NA,NA,NA
2019年度,北海道,5259000 ,2480000 ,2780000 ,2237288 ,10 ,1988 ,NA,NA,NA
2019年度,青森県,1253000 ,590000 ,663000 ,322970 ,11 ,1877 ,NA,NA,NA
2019年度,岩手県,1226000 ,590000 ,636000 ,371401 ,11 ,1883 ,NA,NA,NA
2019年度,宮城県,2312000 ,1128000 ,1184000 ,315498 ,14 ,2056 ,NA,NA,NA
2019年度,秋田県,972000 ,458000 ,514000 ,320437 ,13 ,1834 ,NA,NA,NA
2019年度,山形県,1080000 ,522000 ,558000 ,288480 ,13 ,1790 ,NA,NA,NA
2019年度,福島県,1852000 ,914000 ,938000 ,421711 ,14 ,1927 ,NA,NA,NA
2019年度,茨城県,2879000 ,1437000 ,1442000 ,397537 ,15 ,2089 ,NA,NA,NA
2019年度,栃木県,1943000 ,970000 ,974000 ,298276 ,15 ,1948 ,NA,NA,NA
2019年度,群馬県,1949000 ,964000 ,984000 ,227936 ,16 ,2191 ,NA,NA,NA
2019年度,埼玉県,7342000 ,3657000 ,3685000 ,258464 ,16 ,2143 ,NA,NA,NA
2019年度,千葉県,6283000 ,3120000 ,3162000 ,355432 ,17 ,1913 ,NA,NA,NA
2019年度,東京都,14007000 ,6889000 ,7118000 ,142154 ,17 ,1909 ,NA,NA,NA
2019年度,神奈川県,9224000 ,4589000 ,4635000 ,147106 ,17 ,2021 ,NA,NA,NA
2019年度,新潟県,2224000 ,1079000 ,1145000 ,453541 ,15 ,1833 ,NA,NA,NA
2019年度,富山県,1043000 ,506000 ,537000 ,184280 ,15 ,1738 ,NA,NA,NA
2019年度,石川県,1139000 ,553000 ,586000 ,139182 ,16 ,1896 ,NA,NA,NA
2019年度,福井県,771000 ,376000 ,396000 ,107730 ,16 ,1777 ,NA,NA,NA
2019年度,山梨県,815000 ,400000 ,415000 ,95438 ,16 ,2216 ,NA,NA,NA
2019年度,長野県,2061000 ,1007000 ,1054000 ,322552 ,13 ,1977 ,NA,NA,NA
2019年度,岐阜県,1992000 ,967000 ,1025000 ,221113 ,17 ,2196 ,NA,NA,NA
2019年度,静岡県,3653000 ,1802000 ,1851000 ,274942 ,18 ,2119 ,NA,NA,NA
2019年度,愛知県,7557000 ,3777000 ,3780000 ,298835 ,17 ,2209 ,NA,NA,NA
2019年度,三重県,1783000 ,871000 ,912000 ,205922 ,17 ,2111 ,NA,NA,NA
2019年度,滋賀県,1416000 ,699000 ,717000 ,130722 ,16 ,1961 ,NA,NA,NA
2019年度,京都府,2592000 ,1239000 ,1353000 ,117382 ,17 ,1817 ,NA,NA,NA
2019年度,大阪府,8842000 ,4243000 ,4599000 ,133073 ,18 ,2101 ,NA,NA,NA
2019年度,兵庫県,5488000 ,2614000 ,2874000 ,278293 ,18 ,2144 ,NA,NA,NA
2019年度,奈良県,1333000 ,628000 ,705000 ,85553 ,16 ,1887 ,NA,NA,NA
2019年度,和歌山県,931000 ,439000 ,492000 ,111507 ,17 ,2178 ,NA,NA,NA
2019年度,鳥取県,557000 ,266000 ,291000 ,90084 ,16 ,1723 ,NA,NA,NA
2019年度,島根県,677000 ,327000 ,350000 ,129890 ,16 ,1785 ,NA,NA,NA
