排出年,特定排出者コード,事業者・事業所名,区分,業種,所在地,温室効果ガス算定排出量(tCO2)
year,code,name,type,sector,location,tCO2
2023,400048364,株式会社サンゲツ,特定荷主,建築材料，鉱物・金属材料等卸売業,愛知県名古屋市,5909
2023,985472901,東京エレクトロン株式会社,特定荷主,生産用機械器具製造業,東京都港区,5903
2023,985851108,横河電機株式会社,特定事業所排出者,電気機械器具製造業,東京都武蔵野市,5903
2023,400470911,株式会社コモ,特定事業所排出者,食料品製造業,愛知県小牧市,5878
2023,201844321,株式会社コロワイドMD,特定事業所排出者,食料品製造業,神奈川県横浜市,5860
2023,982470028,トーセイ株式会社,特定事業所排出者,不動産取引業,東京都港区,5857
2023,985777001,丸藤シートパイル株式会社,特定荷主,建築材料，鉱物・金属材料等卸売業,東京都中央区,5842
2023,986328573,株式会社三井住友フィナンシャルグループ,特定事業所排出者,補助的金融業等,東京都千代田区,5831
2023,985141604,関東電化工業株式会社,特定荷主,化学工業,東京都千代田区,5829
2023,985681204,日本冶金工業株式会社,特定荷主,鉄鋼業,東京都中央区,5818
2023,985384003,大日精化工業株式会社,特定荷主,化学工業,東京都中央区,5817
2023,580006221,小林製薬株式会社,特定荷主,化学工業,大阪府大阪市,5807
2023,580118219,朝日放送グループホールディングス株式会社,特定事業所排出者,放送業,大阪府大阪市,5807
2023,580003435,株式会社ヨータイ,特定荷主,窯業・土石製品製造業,大阪府貝塚市,5797
2023,510305691,株式会社イムラ,特定事業所排出者,パルプ・紙・紙加工品製造業,大阪府大阪市,5791
2023,610005384,岡山県貨物運送株式会社,特定事業所排出者,道路貨物運送業,岡山県岡山市,5776
2023,985193709,児玉化学工業株式会社,特定事業所排出者,プラスチック製品製造業（別掲を除く）,東京都千代田区,5776
2023,530062376,株式会社ノーリツ,特定事業所排出者,金属製品製造業,兵庫県神戸市,5764
2023,985793407,三菱鉛筆株式会社,特定事業所排出者,その他の製造業,東京都品川区,5730
2023,800035358,株式会社九電工,特定事業所排出者,設備工事業,福岡県福岡市,5683
2023,985024303,東海運株式会社,特定事業所排出者,倉庫業,東京都中央区,5682
2023,982145010,エバラ食品工業株式会社,特定荷主,食料品製造業,神奈川県横浜市,5674
2023,330023247,株式会社竹内製作所,特定事業所排出者,生産用機械器具製造業,長野県坂城町,5673
2023,984324332,株式会社ひらまつ,特定事業所排出者,その他のサービス業,東京都渋谷区,5662
2023,982032885,株式会社アートネイチャー,特定事業所排出者,その他の事業サービス業,東京都渋谷区,5658
2023,580013351,シキボウ株式会社,特定事業所排出者,繊維工業,大阪府大阪市,5653
2023,985651107,日本光電工業株式会社,特定事業所排出者,電気機械器具製造業,東京都新宿区,5652
2023,985452408,電源開発株式会社,特定荷主,電気業,東京都中央区,5626
2023,985415001,株式会社タチエス,特定事業所排出者,輸送用機械器具製造業,東京都青梅市,5610
2023,983470677,杏林製薬株式会社,特定事業所排出者,化学工業,東京都千代田区,5593
2023,985144876,パラマウントベッド株式会社,特定事業所排出者,家具・装備品製造業,東京都江東区,5563
2023,985753009,北越工業株式会社,特定事業所排出者,はん用機械器具製造業,新潟県燕市,5562
2023,220224113,株式会社ジンズホールディングス,特定事業所排出者,その他の小売業,東京都千代田区,5553
2023,985773208,ソマール株式会社,特定事業所排出者,建築材料，鉱物・金属材料等卸売業,東京都中央区,5530
2023,580118756,扶桑薬品工業株式会社,特定荷主,化学工業,大阪府大阪市,5508
2023,985120604,株式会社KADOKAWA,特定事業所排出者,映像・音声・文字情報制作業,東京都千代田区,5496
2023,580378263,伊藤忠エネクス株式会社,特定事業所排出者,建築材料，鉱物・金属材料等卸売業,東京都千代田区,5486
2023,380029310,小松ウオール工業株式会社,特定事業所排出者,家具・装備品製造業,石川県小松市,5406
2023,580023751,株式会社池田泉州銀行,特定事業所排出者,銀行業,大阪府大阪市,5405
