ドラッグストアの前年比,,,
,,,
,,,
type,pref,year,yoy
店舗数,長崎県,2022年度,3.7
店舗数,長崎県,2023年度,3.6
店舗数,熊本県,2021年度,1.2
店舗数,熊本県,2022年度,3.4
店舗数,熊本県,2023年度,2.8
店舗数,大分県,2021年度,4.2
店舗数,大分県,2022年度,4
店舗数,大分県,2023年度,3.9
店舗数,宮崎県,2021年度,1.6
店舗数,宮崎県,2022年度,1.6
店舗数,宮崎県,2023年度,3.1
店舗数,鹿児島県,2021年度,5.6
店舗数,鹿児島県,2022年度,1.5
店舗数,鹿児島県,2023年度,4.8
店舗数,沖縄県,2021年度,-5.3
店舗数,沖縄県,2022年度,4.2
店舗数,沖縄県,2023年度,0
